gene_sym,binding_sites
A1BG,2
A1CF,96
A2M,2
A2ML1,6
A4GNT,10
AACS,1
AADAC,13
AADACL2,3
AADACL3,12
AADACL4,4
AADAT,16
AAGAB,14
AAK1,317
AAMDC,3
AAMP,10
AAR2,9
AARD,6
AARS1,2
AARS2,4
AASDH,24
AASDHPPT,22
AASS,18
AATK,9
ABAT,14
ABCA1,60
ABCA10,9
ABCA12,13
ABCA13,13
ABCA2,6
ABCA3,4
ABCA4,1
ABCA5,41
ABCA6,3
ABCA8,15
ABCA9,16
ABCB1,6
ABCB10,32
ABCB11,7
ABCB5,36
ABCB7,22
ABCB8,12
ABCB9,21
ABCC1,19
ABCC10,11
ABCC11,2
ABCC12,15
ABCC2,15
ABCC3,7
ABCC4,44
ABCC5,55
ABCC6,7
ABCC8,1
ABCC9,35
ABCD1,12
ABCD2,27
ABCD3,38
ABCD4,12
ABCE1,38
ABCF1,12
ABCF2,11
ABCF3,10
ABCG1,17
ABCG2,21
ABCG4,43
ABCG5,3
ABCG8,5
ABHD10,31
ABHD11,8
ABHD12,3
ABHD12B,3
ABHD13,85
ABHD14A,3
ABHD14A-ACY1,2
ABHD14B,5
ABHD15,9
ABHD16A,10
ABHD17A,4
ABHD17B,49
ABHD17C,37
ABHD18,60
ABHD2,66
ABHD3,46
ABHD4,19
ABHD5,58
ABHD6,26
ABHD8,2
ABI1,66
ABI2,34
ABI3,3
ABI3BP,32
ABITRAM,13
ABL1,16
ABL2,99
ABLIM1,31
ABLIM2,15
ABLIM3,25
ABO,20
ABR,50
ABRA,14
ABRACL,10
ABRAXAS1,16
ABRAXAS2,59
ABT1,18
ABTB1,6
ABTB2,36
ACAA1,1
ACAA2,10
ACACA,16
ACACB,17
ACAD10,4
ACAD11,7
ACAD8,3
ACAD9,2
ACADL,25
ACADM,12
ACADSB,38
ACADVL,4
ACAN,18
ACAP2,23
ACAP3,13
ACAT1,4
ACAT2,27
ACBD3,67
ACBD4,4
ACBD5,71
ACBD6,3
ACBD7,12
ACCS,2
ACE,8
ACE2,6
